description,item_id,span,inflRank,upSh12m,upCh12m,upShLR,upChLR,upSh1m,upCh1m,date,nPrices,desc_short
MELON EACH EG HONEYDEW,212731,92,72,.86413044,.37293231,.33295637,.23992653,.43548387,.19715822,416,186,
HK LAMB LOIN CHOP/STEAK PER KG,210506,92,73,.86274511,.21698666,.42817813,.14223368,.079831935,.081430309,416,238,
PROTEIN POWDER 900G-2KG,212940,92,74,.86206895,.35486001,.3594183,.33152601,.12820514,.19398756,416,156,
RESTAURANT MAIN COURSE,220128,72,75,.85823756,.13929376,.54143834,.084660687,.16369048,.078348853,416,336,
FROZEN CHIPS 900G-1.5KG,212405,368,76,.8581081,.37686682,.42543593,.23409206,.21052632,.25775674,416,323,Frozen chips
COOKED MEAT TURKEY/CHICK SLICE,211029,80,77,.85606062,.19101195,.40590501,.21432009,.19844358,.060980521,416,257,
COOK-IN SAUCE-JAR/CAN 350-520G,212923,356,78,.85600001,.36689115,.39322811,.22375223,.38059703,.14800331,416,134,
PAINT BRUSH-2INCH/5CM WIDTH,410607,413,79,.85585588,.33591735,.4210588,.16753113,.24369748,.0874492,416,119,Paint brush
POWDERED BABY FORMULA 400-900G,211816,152,80,.85492229,.13630669,.52270645,.12298289,.18316832,.13871834,416,202,
BACON-BACK-PER KG,210808,320,81,.85340315,.19056739,.39883578,.14458734,.28899083,.09362448,416,218,
"FRUIT SQUASH, 750ML - 1.5LT",212001,414,82,.85245901,.31944838,.44184494,.18371357,.27135679,.38216266,416,199,Fruit squash
MUFFIN/INDIVIDUAL CAKE,220124,170,83,.85106385,.20989798,.41301185,.1331521,.11627907,.083650745,416,172,
SANDWICH-TAKE-AWAY (COLD),220303,414,84,.85062242,.16497116,.4947457,.12952521,.074204944,.077934906,416,283,Sandwich takeaway
FRUIT JUICE NOT ORANGE 1L,212006,380,85,.85046726,.31150427,.36404485,.15232842,.11016949,.18188426,416,118,Fruit juice
COMPUTER GAME 3,630380,32,86,.85000002,.85545516,.46442094,.68757296,.42105263,.87127978,416,19,
DVD/BLU RAY PLAYER,630164,32,87,.8493976,.56606323,.44876134,.72019893,.080645159,.030859718,416,186,
COOKED HAM PREPACKED SLICED,211023,212,88,.847561,.195522,.43054861,.27863809,.46625766,.11565021,416,163,
SOFT CONTINENTAL CHEESE - KG,211511,128,89,.84020621,.29382032,.31542191,.22097388,.28909951,.14259295,416,211,
STAFF RESTAURANT MAIN COURSE,220214,406,90,.83870965,.31522501,.49467012,.18450561,.05882353,.10968585,416,51,Staff rest main course
PAINT GLOSS/EMUL 750ML-2.5LTR,410639,80,91,.83783782,.16920306,.52751267,.16145587,.2208589,.32506073,416,163,
PUB -HOT MEAL,220107,384,92,.83490568,.16826941,.52074456,.13985956,.044609666,.09702725,416,269,Pub meal
HOME KLD BEEF-RUMP/POPES STEAK,210406,414,93,.83435583,.1682743,.46152022,.14135493,.14285715,.0827232,416,196,Rump steak
BOTTLED MINERAL WATER,220117,204,94,.83333331,.10771019,.44593182,.11146334,.057142857,.035886806,416,245,
"MILK FLAVOURED, 180-500MLS/GMS",211713,104,95,.83243245,.37119928,.30321708,.42747936,.40782124,.49628714,416,179,
HOME KILLED PORK-LOIN CHOPS KG,210703,414,96,.83200002,.17391215,.45054296,.13424431,.43209878,.080783553,416,162,Pork loin
LEMONADE-2 LITRE BOTTLE,212008,356,97,.83177572,.35822046,.37697461,.20583764,.30508474,.11987142,416,118,
KITCH BASE UNIT WIDTH 800-1000,430119,402,98,.83168316,.47015935,.51336014,.32926241,.22580644,.15220995,416,124,Kitchen base unit
FIZZY BOTTLED DRINK 500ML,212017,212,99,.83157897,.089899123,.644014,.091135919,.14285715,.084601536,416,112,
ANNUAL BOOSTER INJECTION,430621,234,100,.8296296,.16361414,.55844992,.071158759,.072847679,.1018462,416,151,
SQUASH/TENNIS RACQUET,630357,200,101,.82857144,.21836115,.33881164,.51875007,.024390243,.28043726,416,82,
NON-DAIRY MILK DRINK 900ML-1LT,211714,68,102,.82857144,.17419283,.37991506,.20005064,.13917525,.1887069,416,194,
LEMONADE/COLA DRAUGHT,310311,216,103,.82499999,.12290832,.49514416,.10678029,.046332046,.087949596,416,259,
SIX BREAD ROLLS-WHITE/BROWN,210106,414,104,.81914896,.21567146,.44736934,.16076872,.10344828,.082370996,416,116,Bread rolls
HOT OAT CEREAL,210216,128,105,.81860465,.20831481,.34762454,.22201623,.062222224,.10233681,416,225,
SOFA BED,430140,413,106,.8174603,.39873993,.4646681,.32662272,.30405405,.24456654,416,148,Sofa Bed
CHILLED POT DESSERT 125-200G,211808,260,107,.81730771,.17911108,.35580033,.18067403,.15454546,.26452813,416,110,
HIGH CHAIR,430142,56,108,.81560284,1.5162171,.51326525,.61062932,.13235295,.11183354,416,136,
GAS COOKERS-SPECIFY MAKE & MOD,430414,343,109,.81512606,.14174159,.41721913,.19444415,.11320755,.14671759,416,106,Gas cooker
DRAUGHT STOUT PER PINT,310104,405,110,.81481481,.076286644,.80241174,.055475786,.054347824,.035183188,416,276,Stout
PLANT FOOD 800ML-2LT/500G-1.5K,630525,104,112,.81333333,.17327495,.41137868,.24059783,.033707865,.10743096,416,89,
FROZEN PRAWNS PER KG,211106,224,113,.8125,.16118608,.41313034,.21586418,.28703704,.039826669,416,108,
CHINESE TAKEAWAY,220319,248,114,.81188118,.12238573,.37612993,.068109185,.10619469,.057261236,416,113,
TAKEAWAY SOFT DRINK,220320,248,115,.8101266,.13879055,.49335641,.1216204,.090252705,.091491528,416,277,
WOODSCREWS STEEL/ZIN PLATED PK,410638,92,116,.80952382,.28455219,.43053818,.29425982,.28799999,.19734976,416,125,
TOILET ROLLS,430536,212,117,.80952382,.27642152,.46466696,.13376568,.29166666,.098266914,416,120,
HOUSEHOLD CLEANER CREAM/LIQUID,430509,413,118,.80924857,.44190937,.41784745,.2596525,.24873096,.268042,416,197,Bleach
DRIVING LESSON 1 HOUR,440105,410,119,.80459768,.12876345,.49844578,.078572392,.094786733,.086533144,416,211,Driving lesson
STRAWBERRIES PER KG OR PUNNET,212720,221,120,.80281693,.3632713,.43438959,.53073442,.52380955,.27073991,416,189,
PACK OF 5-6 INDIVIDUAL CAKES,210321,236,121,.80208331,.53436452,.49229905,.22186358,.375,.63362199,416,104,
MEAT BASED SNACK PACK MAX 400G,211030,68,122,.80102038,.19803733,.38305452,.2100354,.3611111,.13297975,416,216,
WOMENS SHOE,510533,140,123,.80000001,.50012541,.39181948,.42848364,.12432432,.26740295,416,185,
ELECTRIC COOKER,430304,413,124,.79699248,.22305442,.43444085,.19654357,.25333333,.083108477,416,150,Electric cooker
BOTTLE OF CHAMPAGNE 75 CL,310423,200,125,.79439253,.12310352,.54636341,.1530962,.27927929,.082284749,416,111,
LEATHER SETTEE,430137,212,126,.79411763,.32434589,.49018851,.29281765,.25170067,.19502801,416,147,
CRUMPETS PACK 6-9 SPEC NUMBER,210324,32,127,.79310346,.30292857,.37587088,.24908626,.075471699,.17714064,416,212,
POTATO CRISPS-MULTI-PACK,212404,403,128,.79288024,.30416051,.43091977,.18489534,.093373492,.13284813,416,332,"Crisps, multi-pack"
TEA BAGS-2-PACKET OF 240,211904,236,129,.79245281,.18554467,.39379555,.23489231,.32727271,.3185578,416,165,
QUICHE 340G-450G,212941,56,130,.7904762,.15657012,.41845307,.14298761,.033018868,.10170548,416,212,
BASMATI RICE 500G-1KG,210212,236,131,.7903226,.19058865,.35538417,.26990831,.11764706,.057723533,416,136,
CAT FOOD POUCH-IND-85G-100G,430624,164,132,.78703701,.25949928,.4115651,.18775286,.18803419,.091860518,416,117,
KEBAB- TAKEAWAY,220323,236,133,.78409094,.16657883,.40955037,.10444451,.03125,.11532759,416,96,
SAUSAGES-PORK-PER KG,211014,413,134,.78391957,.17333099,.48032799,.16024238,.10045662,.10522997,416,219,Sausages
SPEC'Y BEER BOTT 500ML 4-5.5,310220,92,135,.78199053,.10626669,.32122877,.12793137,.048543688,.082539991,416,206,
FRUIT JUICE BOTTLE 250-350ML,220125,156,137,.77889448,.085951135,.48871467,.071515374,.047430828,.05907004,416,253,
FRESH VEG-BROCCOLI-PER KG,212530,188,138,.77666664,.26569182,.44242746,.2639333,.28260869,.11903124,416,322,
FRESH/CHILL ORANGE JUICE 900ML,212016,236,139,.77611941,.23547167,.4303275,.15938076,.2857143,.29015702,416,140,
GAS FIRE,430413,343,140,.77551019,.20171709,.43184641,.15062883,.19178082,.15191974,416,73,Gas Fire
CHILDS SIT & RIDE TOY U'ER 5'S,630376,56,141,.77483445,.29579607,.53322005,.37932524,.084415585,.15261582,416,154,
DRIED POTTED SNACK 50-120G,212934,236,142,.77477479,.30368227,.35306653,.23469272,.16260162,.37858334,416,123,
TISSUES-LARGE SIZE BOX,520213,413,143,.77319586,.28358966,.47844142,.19388238,.21138212,.14107035,416,123,Tissues
"FLAVRD TEA 15-20 BAGS, 30-40G",211905,44,144,.77272725,.26250118,.35120642,.45788416,.076530613,.18701288,416,196,
MDF,410633,140,145,.76991153,.27438059,.55676216,.18477371,.085271321,.17910609,416,129,
FLAVOURED WATER BOTT 900ML-1.5,212024,68,146,.76923078,.25518131,.3940722,.21722724,.23157895,.14653324,416,190,
DRY CLEANING-MAN'S SUIT,440104,413,147,.76870745,.12633461,.55943644,.077211805,.081521742,.11541125,416,184,Dry cleaning
READY-MIXED FILLER-INT USE,410602,413,148,.76851851,.20123245,.44261321,.17592661,.23076923,.10881066,416,104,Ready-mix filler
DRAUGHT BITTER (PER PINT),310102,405,149,.76666665,.085629709,.76019377,.066572279,.055084746,.048444603,416,236,Bitter
"COLA DRINK, REG,BOTTLE,1.25-2L",212025,44,150,.76595747,.13290687,.47055408,.17918779,.15294118,.12164169,416,170,
BOOKCASE/FREESTAND SHELV UNIT,430133,236,151,.7647059,.30154938,.38451913,.41607648,.20588236,.22568588,416,204,
CIDER 4.5%-5.5% ABV PINT/BOTTL,310114,60,152,.76213592,.10904562,.63434213,.064233474,.055350553,.038654827,416,271,
CHILLED PIZZA EACH 300-600G,212939,92,153,.76129031,.20973678,.42932105,.28150997,.044692736,.11466667,416,179,
TEA -TAKE-AWAY,220305,413,154,.76073617,.18101884,.39750987,.15114067,.13366337,.072827868,416,202,"Tea, takeaway"
HOME OFFICE DESK,430138,200,155,.75925928,.22058484,.41311097,.33889186,.21621622,.16627923,416,148,
APPLES-COOKING-PER KG,212716,413,156,.75916231,.24547532,.43827477,.19345151,.033333335,.18169886,416,180,Cooking apples
BEEF ROASTING JOINT PER KG,210416,32,157,.75806451,.2446598,.54710042,.21482605,.25333333,.080769636,416,150,
FRZN READY-COOKD MEAL SERVES 1,212918,403,158,.75510204,.22990488,.33884364,.20759645,.059405942,.09459766,416,101,Frozen meal
MATTRESS- 3FT/90CM,430132,236,159,.75483871,.38339183,.40735564,.44440368,.23589744,.19313316,416,195,
COLD/FLU DRINK POWDER,520242,200,160,.75,.11969431,.39922592,.18295999,.090909094,.20228134,416,99,
HOTEL 1 NIGHT PRICE,640406,201,161,.75,.39031908,.42799956,.21861784,.41791046,.21942216,416,67,
BITTER-4CANS-440-500ML,310207,308,162,.75,.065302573,.41751805,.11248407,.12727273,.044181745,416,110,
FROZEN FISH FINGERS 8-12 PK,211210,224,163,.74766356,.37955597,.4580113,.22857028,.16666667,.2502161,416,228,
TOMATO KETCHUP BOTTLE 340-570G,212917,403,164,.74301678,.27620238,.49438709,.16446845,.14705883,.19721743,416,170,Tomato ketchup
INDIAN TAKEAWAY,220318,248,165,.74074072,.12953898,.30869243,.10171095,.070707068,.14124976,416,99,
FRIDGE/FREEZER SPEC CAPACITIES,430362,92,166,.73885351,.29981926,.56765443,.22952898,.25396827,.16561881,416,189,
FRYING PAN 24-30CM,430423,212,167,.73456788,.34865192,.41011727,.3593998,.099476442,.11672421,416,191,
FRESH TURKEY DICED/MIN PER KG,210914,32,168,.73333335,.20462987,.51645917,.31295598,.028571429,.24642859,416,35,
CANNED MEAT-STEWED STEAK,211007,414,169,.73267329,.12139244,.38986409,.14729032,.23913044,.090303548,416,92,Stewed steak
GOLF BALLS PRICE PER BALL,630345,224,170,.73255813,.25233901,.33009365,.3575066,.020833334,.1440756,416,96,
WALLPAPER PER ROLL,410629,212,171,.73239434,.17459285,.40524915,.37548661,.063157894,.27613103,416,95,
WASHING MACH NO DRYER MAX 1800,430361,92,172,.73239434,.14092055,.49449736,.22586682,.49166667,.13580796,416,240,
PINEAPPLE EACH,212728,128,173,.72932333,.27284592,.26455805,.28480092,.11678832,.055555571,416,137,
ICE CREAM 450ML-1L,212933,248,174,.72881359,.40219596,.34781262,.32101145,.19298245,.38474658,416,114,
CHOCOLATE COVERED ICE CREAM,212938,128,175,.72789115,.56773353,.32702404,.43055519,.16666667,.1572223,416,132,
KIWI FRUIT-EACH,212712,403,176,.72664362,.40009847,.37033981,.3191348,.052941177,.3561511,416,340,Kiwi Fruit
VEGETABLE CRISPS PACK 80-125G,212942,32,177,.72549021,.26978174,.29463616,.39602193,.13793103,.34938747,416,174,
FROZEN GARDEN PEAS 800G-1KG,212609,344,178,.7230047,.3050161,.34539652,.20495746,.24680851,.1267079,416,235,
SELF-DRIVE CAR HIRE BASIC 24HR,620307,356,179,.72282606,.59397912,.42730871,.23630223,.086124405,.2199432,416,209,
BOTTLE OF WINE 70-75CL,310315,336,181,.71936756,.11124473,.49781728,.10072363,.20731707,.070383377,416,328,
"DOG TREATS,SPEC,TYPE 70-400G",430626,44,182,.71621621,.31710455,.32358128,.47607765,.28061223,.28366184,416,196,
CHILDS BICYCLE,620317,212,183,.716129,.23166724,.49077785,.23626763,.11794872,.12606162,416,195,
CHEWING/BUBBLE GUM-SINGLE PK,212217,332,184,.7157895,.16465063,.44672742,.12497437,.12820514,.091776051,416,117,
STOUT - 4 CAN PACK,310219,128,185,.71515149,.11054716,.3465364,.13326153,.21857923,.051599804,416,183,
DOG KENNEL FEES DAILY CHARGE,430622,236,186,.71052629,.15811534,.51425081,.095058411,.091603056,.20174235,416,131,
FROZ CHICKEN NUGGETS 220-600G,211019,212,187,.70930231,.30054981,.27830458,.36230657,.35576922,.21700473,416,104,
COLA/FIZZY DRINK 330ML PK 4-8,212023,80,188,.70895523,.20152618,.4464274,.32322073,.13636364,.30470368,416,154,
"CAR TYRE, STATE SIZE",610204,413,189,.70833331,.2004986,.50228989,.15568398,.11111111,.10305899,416,153,Tyres
DISHWASHER TABLETS PACK 16-45,430538,92,190,.70779222,.21049538,.32612514,.43641013,.21808511,.60392463,416,188,
COOKED HAM LOOSE PER 100G,211031,56,191,.70642203,.11331861,.37467992,.16205466,.072580643,.10082106,416,124,
"YOGHURT/FROMAGE 4-6PK, 45-125G",211807,284,192,.70642203,.19813652,.36184147,.2541528,.18110237,.22522806,416,127,
CONTINENTAL SLICED DELI MEAT,211024,116,193,.7062937,.26705748,.26767775,.3389203,.23076923,.31290445,416,130,
BANANAS-PER KG,212719,413,194,.70414203,.096359409,.37166265,.16431355,.049350649,.12671062,416,385,Bananas
BOTTLE STILL WATER 500ML,212021,152,195,.70192307,.23068143,.36488324,.24453889,.32183909,.093047604,416,87,
POTTING COMPOST,630510,402,196,.70175439,.31080896,.30601096,.3594397,.16853933,.16131547,416,89,Compost
SCREWDRIVER,410625,308,197,.70161289,.20855927,.37250158,.30640018,.04255319,.21264094,416,141,
CARPET TUFTED MIN 80% WOOL FIB,430234,104,198,.69620252,.17707375,.46855322,.16331418,.14893617,.14612186,416,188,
CARPET TUFTED 100% MANMADE FIB,430233,104,199,.69565219,.19881757,.46274814,.2661362,.08421053,.27874291,416,190,
BISCUITS HALF CHOC 260-400G,210323,68,200,.69306928,.24003673,.32781443,.3576816,.37560976,.31216404,416,205,
FRESH VEG-CAULIFLOWER-EACH,212504,414,201,.69275361,.20599404,.42858222,.28955075,.10972568,.31172493,416,401,Cauliflower
ELECTRONIC EDUCATIONAL TOY,630368,116,202,.69135803,.41629982,.39604223,.41967258,.16756757,.23823427,416,185,
ELECTRIC HAIR STYLING APP,430351,152,203,.69078946,.47403097,.40075436,.57888538,.13114753,.85990912,416,183,
ELECTRIC COOLING FAN -SEASONAL,430359,60,204,.69047618,2.7810831,.39888874,.87394971,.035714287,.09809646,416,56,
VEGETABLE PICKLE 280-520G,212905,414,205,.68995631,.14460425,.50464004,.13736922,.12851405,.079574518,416,249,Vegetable pickle
POTATOES- OLD WHITE PER KG,212310,204,206,.6875,.31463242,.39381164,.30945483,.22933333,.15232353,416,375,
CANNED TOMATOES 390-400G,212601,414,207,.68506491,.16303864,.41860011,.23589164,.025423728,.22424796,416,354,Tinned tomatoes
RESTAURANT - SWEET COURSE,220122,192,208,.68401486,.16456489,.41940212,.10594304,.084084086,.075300574,416,333,
COUGH LIQUID BOTTLE 150-200MLS,520251,68,209,.68372095,.17220333,.31181467,.20090303,.023584906,.10302365,416,212,
BREAKFAST CEREAL 1,210213,200,210,.6836158,.25566673,.43075189,.22703379,.13736264,.26297244,416,182,
OIL PER LITRE-MULTIGRADE,610303,413,211,.68333334,.31929192,.47806585,.20218398,.10344828,.26371065,416,87,Car oil
FRESH VEG-TOMATOES-PER KG,212515,413,212,.68168169,.29522488,.4521392,.27484185,.27848101,.21789549,416,395,Tomatoes
PRE MIXED SPIRIT 250-330ML,310430,32,213,.68095237,.1302669,.338155,.11169661,.13901345,.057910636,416,223,
MEN'S T-SHIRT SHORT SLEEVED,510132,116,214,.67716533,.34254789,.30522585,.47737935,.18402778,.35897762,416,288,
COFFEE PODS PACK 8-16,213006,80,215,.67605633,.20650794,.3401905,.17953151,.38787878,.1424057,416,165,
"SETTEE,NON LEATHER - SEE HELP",430143,44,216,.67582417,.33350992,.55204803,.24249656,.21459228,.20119487,416,233,
SPARKLING WINE 75CL MIN 11%ABV,310426,140,217,.67512691,.14732726,.42546973,.18381494,.23923445,.16074681,416,209,
MONTHLY SELF STORAGE FEE,440127,212,218,.67307693,.23805496,.42359519,.18717512,.089285716,.16351271,416,112,
FRESH VEG-CARROTS-PER KG,212518,413,219,.67138809,.17733832,.41948819,.25272664,.19951923,.091555588,416,416,Carrots
DOUBLE WARDROBE,430101,413,220,.67021275,.34358841,.45575252,.30277026,.18932039,.26769903,416,206,Double wardrobe
FRESH VEG-COURGETTE-PER KG,212531,188,221,.66438359,.35587415,.3645933,.25761914,.15479876,.28810638,416,323,
HONEY JAR/BOTTLE 340G-454G,212107,104,222,.66169155,.20022374,.30476552,.22802643,.16444445,.10006973,416,225,
DEODORANT/ANTI PERSPI 50-250ML,520216,413,223,.66129035,.46319479,.41215634,.27326962,.20634921,.59368968,416,126,Deodorant
TEA BAGS PKT OF 80 (230G-250G),211901,414,224,.66129035,.25112563,.42663357,.16710132,.21323529,.28232598,416,136,Tea bags
