date,quote_date,period,group,p,pWd,pWs,infl,inflW
22,198911,1988-2022,Top,2384.098601795733,0,19.87378601116749,806.6131809146706,.073527798573366
23,198912,1988-2022,Bottom,1208.250486803551,0,9.969907030169756,833.5211348564675,.0712334892969011
23,198912,1988-2022,Middle,1709.709785712262,0,14.30563741101651,820.432931908484,.0730827112759774
23,198912,1988-2022,Top,2364.466387706498,0,19.75339581561275,827.1485507420342,.0749972263845393
24,199001,1988-2022,Bottom,1246.035675463577,0,10.26299304456673,845.2708761052539,.0761820068740538
24,199001,1988-2022,Middle,1721.674868889153,0,14.41853010904742,786.7667616092755,.0685552487954813
24,199001,1988-2022,Top,2364.544596803685,0,19.76997123953576,806.1214843803706,.0720219092469658
25,199002,1988-2022,Bottom,1225.328100996713,0,10.10132400505245,0,0
25,199002,1988-2022,Middle,1721.654914749165,0,14.38053752415969,0,0
25,199002,1988-2022,Top,2374.627758321663,0,19.99548148532631,0,0
26,199003,1988-2022,Bottom,1249.936128549278,0,10.33340911053043,751.0301286742712,.0641215740749127
26,199003,1988-2022,Middle,1744.1342037643,0,14.58841667933545,784.5068369739844,.0668188978618976
26,199003,1988-2022,Top,2412.161823891103,0,20.29744196122435,833.939121234774,.0747503530819813
27,199004,1988-2022,Bottom,1268.419396447639,0,10.45880453524296,323.1288339632253,.0213241824791718
27,199004,1988-2022,Middle,1773.930074187617,0,14.8673700428529,364.0243641411265,.0256443347146463
27,199004,1988-2022,Top,2482.54907395194,0,20.87455071990068,325.2161688559378,.0219525198141734
28,199005,1988-2022,Bottom,1278.595009513199,0,10.54176170135421,945.1626552875192,.0839970751012136
28,199005,1988-2022,Middle,1767.186192788184,0,14.8256657597182,907.2040849297385,.0809120783830319
28,199005,1988-2022,Top,2504.667129543921,0,21.02503125992371,975.2922652017636,.0927370716997302
29,199006,1988-2022,Bottom,1277.795686930418,0,10.53949710064141,880.8036070283075,.0822458241641471
29,199006,1988-2022,Middle,1775.40850679328,0,14.89448708094036,838.8311444718662,.0814942430079479
29,199006,1988-2022,Top,2499.330469441911,0,21.048963746347,909.5697045214669,.0927949992761796
30,199007,1988-2022,Bottom,1259.274494009713,0,10.42456503892511,913.6785196140409,.089670683504058
30,199007,1988-2022,Middle,1769.801665735741,0,14.87951808964135,954.498859582236,.0930443408669817
30,199007,1988-2022,Top,2455.277056105435,0,20.68262928605933,937.30620060475,.0932779193724021
31,199008,1988-2022,Bottom,1254.68297448506,0,10.34033171354289,948.4484156419057,.0873479143311139
31,199008,1988-2022,Middle,1779.169320898751,0,14.96361594779106,898.7748129327277,.0861971202465763
31,199008,1988-2022,Top,2465.11629503717,0,20.66604327103899,917.9120311668763,.0905063883124058
32,199009,1988-2022,Bottom,1298.996089937786,0,10.69656217786542,1062.358433209981,.095316307402148
32,199009,1988-2022,Middle,1821.91063563774,0,15.32488542463398,996.6665991950625,.0941561489410105
32,199009,1988-2022,Top,2517.181074522436,0,21.11274877173128,941.3925596192712,.0921371351416648
33,199010,1988-2022,Bottom,1267.098406806588,0,10.41711719848293,955.9694100404158,.086950991439456
33,199010,1988-2022,Middle,1803.0661190177,0,15.16365824176076,926.0499742376851,.0893964965935083
33,199010,1988-2022,Top,2527.610536711911,0,21.18672213883838,956.3822693817201,.0926564507327801
34,199011,1988-2022,Bottom,1304.704190249244,0,10.77969371980968,956.9401372107677,.090607223144616
34,199011,1988-2022,Middle,1842.767106078565,0,15.49084964796202,970.2682408698214,.0937477119961538
34,199011,1988-2022,Top,2589.922114722431,0,21.78352053812705,985.2477874277005,.0966004207403444
35,199012,1988-2022,Bottom,1298.507182916005,0,10.70728074670963,925.5044620649036,.0858702471296813
35,199012,1988-2022,Middle,1847.606544546783,0,15.52930028979123,932.6893366199025,.0907890888610154
35,199012,1988-2022,Top,2646.031212829053,0,22.19258751361243,1053.084685102901,.102709544096759
36,199101,1988-2022,Bottom,1289.720450587571,0,10.62093502592567,898.5732852219371,.0812094075704408
36,199101,1988-2022,Middle,1808.256162745257,0,15.23731565155322,917.516489119104,.0894418586079079
36,199101,1988-2022,Top,2551.280004737278,0,21.48242889464988,937.6482340914663,.0949828867784769
37,199102,1988-2022,Bottom,1281.161806682746,0,10.6214230688444,1018.823058855196,.0944521229753263
37,199102,1988-2022,Middle,1857.815888715287,0,15.70814067321286,1123.787929598863,.1087208144587445
37,199102,1988-2022,Top,2635.384693212807,0,22.22309342055814,1216.007309977431,.1172366174938967
38,199103,1988-2022,Bottom,1314.972557981809,0,10.82175408896486,999.3874841490955,.0938524512248099
38,199103,1988-2022,Middle,1893.625064127147,0,15.97154624195537,1087.470496570071,.1086254838233647
38,199103,1988-2022,Top,2693.696680722137,0,22.69609469146235,1104.333246332438,.112283884798065
39,199104,1988-2022,Bottom,1364.635848551989,0,11.20683254670682,1067.814156684714,.1084205117339631
39,199104,1988-2022,Middle,1958.781664284567,0,16.47927108079118,1186.183660578293,.1240247709689963
39,199104,1988-2022,Top,2825.644115887582,0,23.79112347694657,1226.55107647685,.1256534164799632
40,199105,1988-2022,Bottom,1354.852736180027,0,11.12414695702319,960.7791994116269,.0965683479400165
40,199105,1988-2022,Middle,1962.729120271901,0,16.4920910220244,1109.093400129738,.1155907621159713
40,199105,1988-2022,Top,2810.418045622607,0,23.64248310871578,1180.561039767538,.1245277567066599
41,199106,1988-2022,Bottom,1377.915719772379,0,11.30846853711167,1078.181487880647,.1030401526501616
41,199106,1988-2022,Middle,1993.88256063809,0,16.7679760743049,1257.783282035962,.1251570792095057
41,199106,1988-2022,Top,2840.074424567322,0,23.87855260807555,1282.241529854946,.1279459262520201
42,199107,1988-2022,Bottom,1338.512225220601,0,11.06427759241584,953.831838373056,.092349276874567
42,199107,1988-2022,Middle,1953.69741375496,0,16.46088440801638,1104.297216392782,.1117292151805032
42,199107,1988-2022,Top,2759.600618049502,0,23.18992944277124,1229.788176482543,.1262413792883308
43,199108,1988-2022,Bottom,1355.5863746653,0,11.28476498901728,966.615507620736,.0994382951751807
43,199108,1988-2022,Middle,1986.175636477768,0,16.74216537996351,1075.424589286558,.1132985950913887
43,199108,1988-2022,Top,2838.530020855367,0,23.94952471133244,1208.644818423393,.126413377409411
44,199109,1988-2022,Bottom,1361.590074561536,0,11.29629638636834,747.8435397148132,.0834258257236797
44,199109,1988-2022,Middle,1988.415222100914,0,16.72540199469465,1039.831787872148,.1116348032904474
44,199109,1988-2022,Top,2857.595948157211,0,24.12341719437002,1187.004488271971,.1291848110505877
45,199110,1988-2022,Bottom,1390.724952891469,0,11.53504994202134,801.876326611576,.0886578238745036
45,199110,1988-2022,Middle,1992.399903101226,0,16.77624185059297,933.3501719889076,.1020703246893693
45,199110,1988-2022,Top,2881.510236057142,0,24.33848925365601,1114.004131988622,.1213834685325613
46,199111,1988-2022,Bottom,1405.323217324913,0,11.66569813447616,774.5993761500964,.0826805063608163
46,199111,1988-2022,Middle,1993.661232747138,0,16.8046943761874,976.1143741896376,.1061148615120449
46,199111,1988-2022,Top,2901.97879875948,0,24.55232602580994,1141.475132128592,.1259140277422262
47,199112,1988-2022,Bottom,1411.437040401002,0,11.69292996377529,769.6671038720524,.0852819562480818
47,199112,1988-2022,Middle,2004.523364263276,0,16.86950870141542,986.8737436869802,.1065667365966571
47,199112,1988-2022,Top,2925.296914550165,0,24.73979082602697,1032.130491780117,.1149732305245076
48,199201,1988-2022,Bottom,1342.875935636461,0,11.21251944503941,743.8568264313895,.086976136204252
48,199201,1988-2022,Middle,1932.143262746433,0,16.3038228120228,992.6763798517641,.1076787580668679
48,199201,1988-2022,Top,2788.310923556487,0,23.57389063554971,1049.432900881705,.1108452410529329
49,199202,1988-2022,Bottom,1384.48306089143,0,11.486288539425,722.0077700427888,.0805351762595213
49,199202,1988-2022,Middle,1983.434210238357,0,16.70675621746341,811.4029745799295,.0899995402582666
49,199202,1988-2022,Top,2870.926687354843,0,24.2844271020731,886.5857201608984,.0929089697001473
50,199203,1988-2022,Bottom,1399.103337248166,0,11.61186488643095,696.6724764555693,.079698267425556
50,199203,1988-2022,Middle,1994.094371631742,0,16.82629139556472,811.4395831600026,.0907425080923379
50,199203,1988-2022,Top,2940.782685255011,0,24.79050714025895,856.6962052655678,.0894661084088284
51,199204,1988-2022,Bottom,1423.169405636688,0,11.81063517985361,452.5238401809474,.0522004966072368
51,199204,1988-2022,Middle,2003.40045983096,0,16.94145875003111,558.2493206335736,.0623237435050517
51,199204,1988-2022,Top,2999.33103479445,0,25.32493520840459,639.1761201899499,.0679652450042643
52,199205,1988-2022,Bottom,1404.145938776433,0,11.70562260014898,457.6341393752955,.0559039397655094
52,199205,1988-2022,Middle,2019.171000684301,0,17.11424740347623,525.4980364513661,.0590327849381159
52,199205,1988-2022,Top,3009.695041502515,0,25.41761800303357,560.9016561182216,.054955022275711
53,199206,1988-2022,Bottom,1402.247749028106,0,11.70465246439562,350.847679298992,.0496598878321493
53,199206,1988-2022,Middle,2018.427061056097,0,17.14782321988605,408.0447829386685,.0529279221924905
53,199206,1988-2022,Top,3006.863471239805,0,25.39299108056973,484.0741570747923,.0520047207144974
54,199207,1988-2022,Bottom,1384.377665407956,0,11.5800722684847,312.8007808907569,.0456509160248449
54,199207,1988-2022,Middle,1998.15531904002,0,16.99122203106526,392.7144244507265,.0498963393871842
54,199207,1988-2022,Top,2903.195234919588,0,24.59647132495108,484.7289671636342,.0508391455673518
55,199208,1988-2022,Bottom,1386.311805382371,0,11.57525205310473,197.1520229313076,.0334775357183474
55,199208,1988-2022,Middle,2030.014896710714,0,17.25371612239784,339.2354489789189,.0445275413903801
55,199208,1988-2022,Top,2963.564343412717,0,25.07784924749285,465.9208036939769,.0493893753356739
56,199209,1988-2022,Bottom,1402.139492648343,0,11.70219471343929,350.3954569754569,.0438188405205295
56,199209,1988-2022,Middle,2070.312582463026,0,17.54940725775668,334.2670469661243,.0425631457668108
56,199209,1988-2022,Top,3064.072846129537,0,25.90041141910478,399.6843146456134,.0418545817145362
57,199210,1988-2022,Bottom,1402.982357097169,0,11.70676683410905,301.9713868600472,.0391315580944441
57,199210,1988-2022,Middle,2062.75572197636,0,17.47090771165676,459.1150187974563,.0498889597909814
57,199210,1988-2022,Top,3043.109441111485,0,25.66244296098982,406.4082691009389,.0406624717035129
58,199211,1988-2022,Bottom,1416.582812018692,0,11.82649024866502,269.9213718539492,.0385571500552639
58,199211,1988-2022,Middle,2082.571440115571,0,17.64153332338901,382.0772652049224,.0439269392494973
58,199211,1988-2022,Top,3080.389255767067,0,25.96278292348628,381.4171711477684,.0372143794432986
59,199212,1988-2022,Bottom,1450.059824362397,0,12.1372534972082,234.3494352079385,.0390828387294277
59,199212,1988-2022,Middle,2112.263446281353,0,17.90737087642386,322.9448016213913,.0403832508912956
59,199212,1988-2022,Top,3106.917942459384,0,26.2005999013054,370.0606062076986,.0376195032091952
60,199301,1988-2022,Bottom,1375.79856980592,0,11.56738781946964,290.1511939315242,.0394130479918431
60,199301,1988-2022,Middle,2031.06741904219,0,17.23628798901336,350.6910830968991,.039936738829662
60,199301,1988-2022,Top,2969.933468654752,0,25.09898125732919,446.9893773433189,.0446679629275574
61,199302,1988-2022,Bottom,1366.690322197974,0,11.49004966414941,205.7785220998994,.0322367643792016
61,199302,1988-2022,Middle,2013.661744371057,0,17.05261334171034,263.9294429915026,.0320178378528908
61,199302,1988-2022,Top,2933.187178984284,0,24.8062043008152,290.8948546857573,.031547561798637
62,199303,1988-2022,Bottom,1409.976549523572,0,11.77951863890242,258.0548882726968,.0353306047053744
62,199303,1988-2022,Middle,2064.675255909562,0,17.34541680168574,296.0615268171144,.0319803851019742
62,199303,1988-2022,Top,3069.878196641803,0,25.7890956466581,368.5624524165178,.0365675534700358
63,199304,1988-2022,Bottom,1422.31699872762,0,11.89326097079417,142.0930121385027,.026797342009407
63,199304,1988-2022,Middle,2071.911875704924,0,17.42171878551502,241.4420842784845,.028068839386151
63,199304,1988-2022,Top,3077.341468150417,0,25.87394168541747,268.5912826447748,.0296704326706276
64,199305,1988-2022,Bottom,1426.568537478646,0,11.93203465229696,221.6119972853145,.0307069651670796
64,199305,1988-2022,Middle,2064.952531153957,0,17.38679810841859,294.6717299959952,.0311626221851119
64,199305,1988-2022,Top,3081.411767244339,0,25.95821083237631,347.2284328143966,.0344744048781725
65,199306,1988-2022,Bottom,1423.725736930966,0,11.88385785024244,192.2235579695553,.0276547781965443
65,199306,1988-2022,Middle,2075.472161650658,0,17.45529461659316,253.1726172591637,.0279138969661593
65,199306,1988-2022,Top,3060.302589794,0,25.8413851782243,262.6303324701439,.029520487818445
66,199307,1988-2022,Bottom,1403.260215287407,0,11.7820081316216,258.1735513890938,.0322831462075328
66,199307,1988-2022,Middle,2014.036145110925,0,16.98486128474178,263.4595047139252,.0276127270950989
66,199307,1988-2022,Top,2984.197382758061,0,25.19749651045519,275.9025149386919,.0299385155212425
67,199308,1988-2022,Bottom,1392.674704357982,0,11.6865200354902,247.0835089722338,.029870367354988
67,199308,1988-2022,Middle,2040.334052647154,0,17.20474783823495,274.2017077592512,.0278533354367028
67,199308,1988-2022,Top,3032.893754561742,0,25.60347926843194,250.4648237819007,.0259887093857666
68,199309,1988-2022,Bottom,1410.945433822771,0,11.82128798289826,184.7841598530067,.0257755460190765
68,199309,1988-2022,Middle,2045.748982667923,0,17.2295500383237,249.1566261565216,.0262883592975148
68,199309,1988-2022,Top,3066.712599078814,0,25.85764504512675,301.624647693825,.0302910153546918
69,199310,1988-2022,Bottom,1404.717608429492,0,11.76371105571646,211.0398222896038,.0272281923900361
69,199310,1988-2022,Middle,2054.412526925405,0,17.29533869955048,220.9233505360316,.0245767464155809
69,199310,1988-2022,Top,3060.10395543774,0,25.78426778867045,308.4660906897625,.0326251874618038
70,199311,1988-2022,Bottom,1426.756243564188,0,11.93924027883622,155.2493269128414,.0233786636926396
70,199311,1988-2022,Middle,2053.496310825149,0,17.28536092021871,174.0565463430054,.0196529071992776
70,199311,1988-2022,Top,3064.335833276311,0,25.86072202119491,255.9032835977026,.0293507343389479
71,199312,1988-2022,Bottom,1423.087104919056,0,11.87249886893066,148.6401835175153,.0163261680671288
71,199312,1988-2022,Middle,2079.735096653303,0,17.51336101430449,284.4898904998748,.0275528064197109
71,199312,1988-2022,Top,3112.941147521138,0,26.23548703244402,331.0656620931695,.0341941832084558
72,199401,1988-2022,Bottom,1369.779710200926,0,11.44641096388902,-3.449789349170373,.0103728888154022
72,199401,1988-2022,Middle,2002.703533714016,0,16.90166540117449,102.0769020548566,.0196965123911828
72,199401,1988-2022,Top,2980.497547373176,0,25.10465496141599,200.9284123579467,.0289095120369893
73,199402,1988-2022,Bottom,1404.160429877539,0,11.75710741278696,45.20006552532626,.0196580616354064
73,199402,1988-2022,Middle,2063.137931600213,0,17.34817485732007,131.7767674505982,.0237810367815428
73,199402,1988-2022,Top,3089.711866036057,0,25.90630627977953,175.1410658022602,.0270215430671594
74,199403,1988-2022,Bottom,1438.853431165218,0,12.02197547406346,122.0465137254602,.0224375017971852
74,199403,1988-2022,Middle,2093.776379793882,0,17.52627033345925,73.54839343436954,.0175686021217795
74,199403,1988-2022,Top,3041.05156823496,0,25.51994289401046,74.40797675905439,.0199985724276151
75,199404,1988-2022,Bottom,1443.074503851434,0,12.03353660183105,136.8651687458623,.0202635917177645
75,199404,1988-2022,Middle,2128.5645066003,0,17.84061670723895,182.0324251525259,.0227825205471011
75,199404,1988-2022,Top,3106.923824588458,0,26.06998171583109,290.1149478049774,.0324027198534319
76,199405,1988-2022,Bottom,1437.273942306638,0,11.99971610003558,54.27317772215853,.0136827156244787
76,199405,1988-2022,Middle,2112.542234991988,0,17.68793731399637,123.5430862080345,.0177081478698256
76,199405,1988-2022,Top,3120.900707046191,0,26.23453004207598,250.9199914944475,.030831897700826
77,199406,1988-2022,Bottom,1446.318222768605,0,12.05307024657668,147.2476238307233,.0174622640723404
77,199406,1988-2022,Middle,2111.078381821513,0,17.67176619633392,238.9549255662132,.022731457760339
77,199406,1988-2022,Top,3147.820326045156,0,26.44754482962405,396.0498033969391,.0368826168440061
78,199407,1988-2022,Bottom,1406.993150534729,0,11.72013364940358,58.03165581504194,.0110147626044939
78,199407,1988-2022,Middle,2061.404207254449,0,17.31460521777141,169.332885001495,.0201542017883488
78,199407,1988-2022,Top,3067.20328691105,0,25.80578701882526,311.4203811133241,.0325539579758924
79,199408,1988-2022,Bottom,1452.680095983048,0,12.14161864525037,209.8026021810559,.026098322907122
79,199408,1988-2022,Middle,2106.973139295975,0,17.71531856936538,236.056855340333,.0270676329600216
79,199408,1988-2022,Top,3165.230020175377,0,26.59874878248957,383.3004458962629,.041534267902307
80,199409,1988-2022,Bottom,1447.41578524063,0,12.08157205787817,190.9769594902173,.0242869025415378
80,199409,1988-2022,Middle,2127.475780397654,0,17.96085911305757,230.4219676186525,.0271778724411054
80,199409,1988-2022,Top,3166.361306423942,0,26.66259289773006,313.1096445407214,.0333627144960928
81,199410,1988-2022,Bottom,1501.982620959481,0,12.52819710166174,182.3778899376824,.0249022658805037
81,199410,1988-2022,Middle,2173.42471383512,0,18.32750842857543,177.5172421495275,.027324917001124
81,199410,1988-2022,Top,3203.557909910878,0,26.89446678990013,250.110681153698,.0278475315684545
82,199411,1988-2022,Bottom,1497.571086270114,0,12.48511944501176,123.3837812585989,.0202699515840171
82,199411,1988-2022,Middle,2182.087901577353,0,18.36137514912116,166.249177994905,.0262122076428947
82,199411,1988-2022,Top,3188.69152751565,0,26.84089328520834,240.6704521115898,.029945234858881
83,199412,1988-2022,Bottom,1532.553630404174,0,12.77158038426326,190.5650616048661,.0277748922885905
83,199412,1988-2022,Middle,2209.895175874233,0,18.66779088467107,156.5872615406988,.0261420910172016
83,199412,1988-2022,Top,3211.660070737203,0,27.02573979763838,211.4994723298878,.0262190643136364
84,199501,1988-2022,Bottom,1451.821842002372,0,12.1538542527851,264.9600580776071,.0307855397859385
84,199501,1988-2022,Middle,2108.238207295537,0,17.76615674085042,268.4315381823884,.0320116949941773
84,199501,1988-2022,Top,3064.465987309813,0,25.7955682976705,293.5973527860672,.0314217443991917
85,199502,1988-2022,Bottom,1494.716022918622,0,12.46612475596582,401.3733098826681,.0394934498181859
85,199502,1988-2022,Middle,2165.857380852103,0,18.21149516392325,427.0750618743477,.0456568542373361
85,199502,1988-2022,Top,3257.455986832579,0,27.39138958336844,526.345035147339,.0522573962250021
86,199503,1988-2022,Bottom,1482.400300428271,0,12.37224033185339,278.5337600187631,.0349916165340574
86,199503,1988-2022,Middle,2212.05253011485,0,18.590293544689,469.4347116184265,.0523789999006112
86,199503,1988-2022,Top,3301.184777940313,0,27.81977723142579,588.3241618202495,.0575842755979465
87,199504,1988-2022,Bottom,1487.784151072304,0,12.437360460739,333.2853786657021,.0388913486073458
87,199504,1988-2022,Middle,2211.866780300935,0,18.63613189230576,390.7983031521629,.0456481240896665
87,199504,1988-2022,Top,3244.361944248279,0,27.42957533765487,355.8813321244088,.0379591353505854
88,199505,1988-2022,Bottom,1484.711185192068,0,12.40965438411513,441.3415259623434,.0450332950806569
88,199505,1988-2022,Middle,2221.6390230606,0,18.66015674299463,533.8846800460791,.0538482826812772
88,199505,1988-2022,Top,3315.680107365052,0,27.99003070975111,497.489396466699,.0476540552026942
89,199506,1988-2022,Bottom,1481.978545392553,0,12.40031573077916,353.0628147428312,.0439355878355248
89,199506,1988-2022,Middle,2211.002321223418,0,18.58204600854758,390.0266470067436,.0479726041549687
89,199506,1988-2022,Top,3332.60716911157,0,28.17481062974548,398.0674954145798,.0475062264573959
90,199507,1988-2022,Bottom,1461.406812469165,0,12.24600068270714,503.9453421930375,.0517553220662421
90,199507,1988-2022,Middle,2146.103847319881,0,18.05839789448752,446.5095434061368,.0464033719417785
90,199507,1988-2022,Top,3169.853303800026,0,26.83395942420854,485.6373007933144,.0494006208117147
91,199508,1988-2022,Bottom,1477.34286052982,0,12.39042532774329,430.4447146714665,.0435475176085068
91,199508,1988-2022,Middle,2176.546537960569,0,18.3128947008081,468.7036803773178,.0469021592086089
91,199508,1988-2022,Top,3253.466258953015,0,27.54055920008492,486.8753980044858,.0457721863262842
92,199509,1988-2022,Bottom,1514.617575101554,0,12.68402548963301,520.8568343989706,.0503064191016165
92,199509,1988-2022,Middle,2237.138084426522,0,18.81629765615314,524.5411587743243,.0502725033451649
92,199509,1988-2022,Top,3309.396270801624,0,27.97930048204823,571.5455243325172,.0555259647812818
93,199510,1988-2022,Bottom,1464.558273094396,0,12.24413272147164,429.3484216643265,.0470774637547796
93,199510,1988-2022,Middle,2216.443574771285,0,18.63777133536739,540.5592878581956,.0531834045638485
93,199510,1988-2022,Top,3221.439193194111,0,27.26889181919493,542.8104230600487,.0562375352941634
94,199511,1988-2022,Bottom,1481.825001858175,0,12.37954089073173,477.620105589934,.0491380511523687
94,199511,1988-2022,Middle,2228.739654724797,0,18.74606946154866,566.4078321220586,.0553381949933206
94,199511,1988-2022,Top,3325.622292081515,0,28.10846655822145,551.9337934247839,.0544481705909826
95,199512,1988-2022,Bottom,1498.187261462212,0,12.53009708994553,466.3319125558094,.048145189161005
95,199512,1988-2022,Middle,2315.388613263766,0,19.47622299411159,530.3158761399876,.0522160585557003
95,199512,1988-2022,Top,3408.789336423079,0,28.86974479437049,530.1149851933587,.0545786035022502
96,199601,1988-2022,Bottom,1415.434562474489,0,11.8838652852719,404.0573224852172,.0428583358537177
96,199601,1988-2022,Middle,2190.464405904213,0,18.4743426717226,531.0432765899653,.0503927568706028
96,199601,1988-2022,Top,3184.690729538599,0,27.04155657728067,542.7208695696512,.0526128834851628
97,199602,1988-2022,Bottom,1533.26665571332,20.63267771487396,12.82906991093478,438.992349729718,.039765395633746
97,199602,1988-2022,Middle,2327.839665681124,29.40311935780725,19.61656749657413,690.7600140145709,.0604481153218709
97,199602,1988-2022,Top,3474.829990486304,44.23281308228616,29.57278625941156,839.3697513733059,.0726573553533096
98,199603,1988-2022,Bottom,1562.416669326524,21.25576432767169,13.07618058058142,629.3099343931923,.0486542190738722
98,199603,1988-2022,Middle,2391.226663713654,30.58918725128751,20.17087213607253,763.3966584001124,.0617386570232081
98,199603,1988-2022,Top,3619.779990027348,47.02531900718653,30.79010415417239,954.247776188034,.0759931343289584
99,199604,1988-2022,Bottom,1569.126657067488,21.07522159711516,13.11986145854947,565.5695481904937,.0493727187148731
99,199604,1988-2022,Middle,2362.713320866227,30.27503573723758,19.97588690385843,724.2506361372458,.0609410073354582
99,199604,1988-2022,Top,3625.53332122167,45.48414308445839,30.72862747491066,960.8299464200778,.0810026950678851
100,199605,1988-2022,Bottom,1541.861652952929,21.09748304686703,12.9343674100625,450.1041335218663,.0451982559552562
100,199605,1988-2022,Middle,2343.078308959802,30.00002719543409,19.79854603287337,543.4789777034894,.0545606008956459
