item_id,description,date_quote_s,date_quote_e,n_obs
210701,HK PORK LEG (FOOT OFF) KG,198802,199701,25184
210703,HOME KILLED PORK-LOIN CHOPS KG,198802,202209,102324
210705,HK PORK SHOULDER (BONELESS),199601,199601,315
210706,H-KILL PORK-BONELESS SHOULDER,199702,201101,29331
210802,BACON-GAMMON-PER KG,198802,202209,99790
210805,BACON-STREAKY-PER KG,198903,200101,35450
210806,BACON - BACK - DANISH,199601,199601,271
210807,BACON - BACK - HOME PRODUCED,199601,199601,273
210808,BACON-BACK-PER KG,199602,202209,85237
210903,FROZEN CHICKEN PIECES,198802,200301,23479
210904,FROZEN TURKEY- PER KG- SPECIFY,198802,200401,18669
210905,FRESH/CHILLED CHICKEN  PER KG,198903,202209,96939
210906,FRZEN ROASTING CHICKEN PER KG,198903,200601,27761
210907,FRESH/CHILLED CHICKEN PIECES,199502,200301,25596
210908,COOKED MEAT-TURKEY-SLICED,199602,200301,21312
210909,FROZEN CHICKEN THIGHS PER KG,200302,200601,2156
210910,FRESH BONELESS CHICKEN BREAST,200302,202209,55865
210911,FRESH TURKEY STEAKS PER KG,200402,202001,10135
210912,FROZEN CHICKEN BREASTS,200602,202001,28902
210913,ROTISSERIE CHICKEN [WHOLE],200902,202209,8028
210914,FRESH TURKEY DICED/MIN PER KG,202002,202209,1629
211001,SAUSAGES-PORK-PER LB/454G.,198802,199812,38315
211003,LAMBS LIVER-PER KG,198802,199812,34678
211004,CANNED MEAT-CORNED BEEF,198802,200501,31941
211005,COOKED MEAT-LUNCHEON MEAT,198802,200001,28252
211007,CANNED MEAT-STEWED STEAK,198802,202209,53563
211008,GARLIC SAUSAGE-SLICED-100-113G,198802,199801,23757
211009,COOKED MEAT-HAM NOT SHOULDER,198802,200201,46053
211010,PORK PIE INDIVIDL APP 3IN/8CM,198802,201801,75863
211011,INDIVIDUAL MEAT PIE,198802,202209,91407
211012,LIVER PATE-100-135G OR 4OZ,199302,200001,15904
211013,SALAMI-SLICED,199802,200201,8188
211014,SAUSAGES-PORK-PER KG,199902,202209,72830
211015,COOKED HAM PREPACKED/SLICED,200202,200501,2294
211016,COOKED HAM LOOSE SPECIFY TYPE,200202,201801,31920
211017,SALAMI SLICED 70-113G,200202,200601,3099
211018,COOKED MEAT - SLICED TURKEY,200302,201601,30901
211019,FROZ CHICKEN NUGGETS 220-600G,200502,202209,23640
211021,CHICKEN KIEV 2 PACK 250-300G,200602,201501,7172
211022,OVEN READY JOINT,201102,201501,6320
211023,COOKED HAM PREPACKED SLICED,200502,202209,32978
211024,CONTINENTAL SLICED DELI MEAT,201302,202209,18377
211025,JOINT OV/READ GAM/POR 450-900G,201502,202209,12567
211026,CHICKEN KIEV 2 PACK 240-325G,201502,202209,18468
211027,H K LIVER PER KG STATE TYPE,201502,202209,11787
211028,MEAT BASED SNACK M/PACK 400G,201602,201701,2828
211029,COOKED MEAT TURKEY/CHICK SLICE,201602,202209,24952
211030,MEAT BASED SNACK PACK MAX 400G,201702,202209,14344
211031,COOKED HAM LOOSE PER 100G,201802,202209,8022
211101,FRESH WHITE FISH FILLETS KG,199601,202209,47656
211104,FRESH FISH-RAINBOW TROUT-WHOLE,199302,200101,22989
211105,FRESH FISH-SALMON FILLETS-KG,200102,202209,34672
211106,FROZEN PRAWNS PER KG,200402,202209,31140
211202,CANNED FISH-SALMON-200-215G,198802,200201,25688
211203,FROZEN FISH FINGERS (10 PACK),198802,200401,32710
211204,FROZEN FISH IN SAUCE,198802,200301,29359
211207,"CANNED FISH, TUNA, 130G-200G",198903,202209,57574
211208,FROZEN PLAICE IN CRUMBS,199601,199601,123
211209,FROZEN PRAWNS PACKED (PER KG),200202,200401,1486
211210,FROZEN FISH FINGERS 8-12 PK,200402,202209,45384
211211,FROZEN BREAD/BAT FISH 400-550G,201002,202209,31910
211301,BUTTER-HOME PRODUCED-250G,198802,201301,47553
211302,BUTTER  NEW ZEALAND,199601,199601,192
211303,BUTTER  DANISH,199601,199601,185
211304,BUTTER-IMPORTED 250G,199602,201301,28928
211305,SPREADABLE BUTTER,201302,202209,26976
211306,BUTTER 250G SPEC COO,201302,202209,27041
211401,MARGARINE SOFT 500 GRMS,199601,199601,206
211404,COOKING OIL -VEGETABLE 1 LITRE,198802,200612,37627
211406,LOW FAT SPREAD,199601,199601,213
211407,MARGARINE/LOW FAT SPREAD-500G,199602,202209,45877
211408,OLIVE OIL - 500ML - 1 LITRE,200702,202209,41512
211409,"PEANUT BUTTER, JAR, 225-350G",201902,202209,9810
211501,CHEDDAR-HOME PRODUCED PER KG,198802,202209,63671
211502,CHEDDAR-IMPORTED-PER KG,198802,200901,30612
211504,BRIE PER KG,198802,200612,29482
211505,CHEESE CHESHIRE-PER KG,199002,199801,16520
211506,"CHEESE SPREAD, 125g-200g TUB",199802,202209,35602
211507,EDAM PER KG,200002,201801,25355
211508,PROCESSED CHEESE SLICES (10),200202,200401,3057
211509,HARD REGIONAL CHEESE PER KG,200402,202209,29762
211510,PARMESAN CHEESE-PER KG,200902,202209,20610
211511,SOFT CONTINENTAL CHEESE - KG,201202,202209,27696
211602,EGGS-MEDIUM-PER DOZ OR 2 X 6,198802,202201,54434
211603,EGGS-LARGE-PER DOZ OR 2 X 6,198802,202201,58902
211604,EGGS PER DOZEN OR 2 X 6 BOX,202202,202209,1785
211701,SHOP MILK-PASTEURISED-PER PT,198802,200201,32488
211709,SHOP MILK-WHOLE MILK-4PT/2LTR,199002,202209,82318
211710,MILK SEMI-PER 2 PINTS/1.136 L,199002,202209,60591
211711,MILK-FLAVOURED,199602,200301,11750
211712,"MILK, LONG-LIFE, 500ML",200002,200201,3013
211713,"MILK FLAVOURED, 180-500MLS/GMS",201402,202209,20944
211714,NON-DAIRY MILK DRINK 900ML-1LT,201702,202209,15499
211802,YOGHURT-FRUIT-SMALL INDIVIDUAL,198802,199812,26073
211803,FRESH CREAM SINGLE 142ML CARTN,198802,200101,24570
211804,POWDERED SKIMMED MILK-198G,198903,200201,24594
211805,FROMAGE FRAIS-FLAVOURED-6 PACK,199102,199812,14501
211806,YOGHURT/FROMAGE FRAIS-SMALL,199902,200901,17264
211807,"YOGHURT/FROMAGE 4-6PK, 45-125G",199902,202209,34466
211808,CHILLED POT DESSERT 125-200G,200102,202209,36467
211809,FRESH SINGLE CREAM 284-300ML,200102,200901,11221
211810,POWDERED BABY FORMULA,200202,200501,5743
211812,MILK- FLAVOURED 500-568ML,200302,200601,4253
211813,PROBIOTIC-STYLE YOGHURT DRINK,200702,201501,19438
211814,YOGHURT-SMALL INDIVIDUAL,200902,202209,22117
211815,FRESH DOUBLE CREAM 250ML-300ML,200902,202209,22365
211816,POWDERED BABY FORMULA 400-900G,201002,202209,30850
211901,TEA BAGS PKT OF 80 (230G-250G),198802,202209,67035
211902,TEA-LOOSE-125G,198802,200201,29951
211903,HERBAL/FRUIT TEA-BAGS,200102,200301,2906
211904,TEA BAGS-2-PACKET OF 240,200302,202209,37061
211905,"FLAVRD TEA 15-20 BAGS, 30-40G",201902,202209,9444
212001,"FRUIT SQUASH, 750ML - 1.5LT",198802,202209,85221
212003,COCA/PEPSI COLA 330ML CAN,198802,200501,36975
212004,OTHER FIZZY DRINK-PER CAN-330M,198802,200501,35976
212005,PURE ORANGE JUICE-1 LTR CARTON,198802,200801,41178
212006,FRUIT JUICE NOT ORANGE 1L,199102,202209,57475
212008,LEMONADE-2 LITRE BOTTLE,199302,202209,51124
212009,FRUIT DRINK-200-290ML 3-PACK,199302,201001,27589
212010,MINERAL WATER STILL 1.5-2L,199402,202209,66973
212011,COLA FLAVD DRINK 1.75-2 LT BTL,199402,201901,60121
212012,PK6/8 FIZZY DRINK/COLA CANS,199402,201601,33674
212013,PURE ORANGE JUICE- PACK 3/4,199402,200601,14886
212014,"FRUIT JUICE DRINK, 5-99% PURE",200002,200201,3089
212015,FIZZY ENERGY DRINK 250-500ML,200102,202209,38020
212016,FRESH/CHILL ORANGE JUICE 900ML,200302,202209,32025
212017,FIZZY BOTTLED DRINK 500ML,200502,202209,30545
212018,FIZZY CANNED DRINK 330ML,200502,201001,7288
212019,PURE FRUIT SMOOTHIE 750ML-1LTR,200802,202101,11039
212020,FRUIT DRINK BOTTLE 4-8 PACK,201002,202209,31005
212021,BOTTLE STILL WATER 500ML,201002,202209,34217
212022,MIXER DRINK BOTTLE 1L EG TONIC,201402,202209,23541
212023,COLA/FIZZY DRINK 330ML PK 4-8,201602,202209,16931
212024,FLAVOURED WATER BOTT 900ML-1.5,201702,202209,15177
212025,"COLA DRINK, REG,BOTTLE,1.25-2L",201902,202209,8877
212026,"COLA DRINK, DIET 1.25-2LTR",201902,202209,9663
212027,FRUIT/VEG SMOOTHIE,202102,202209,3283
212101,SUGAR -GRANULATED-WHITE-PER KG,198802,202209,86756
212104,"MARMALADE, MEDIUM CUT",199601,199601,196
212105,STRAWBERRY JAM 1 LB,199601,199601,198
212106,JAR OF JAM-340-454G,199602,202209,46612
212107,HONEY JAR/BOTTLE 340G-454G,201402,202209,23649
212202,MINTS,198802,202209,63513
212203,THROAT LOZENGES,198802,200201,24377
212205,INDIVIDUALLY WRAPPED CHOCOLATES,199601,199601,187
212207,CANDY COATED CHOCOLATE,198802,201201,42401
212208,CHOCOLATE 2,199601,199601,187
212209,CHOCOLATE 3,198802,200201,22928
212210,CARTON/BOX OF CHOCOLATES 2,199601,199601,199
212211,CHOCOLATE 4,198802,202209,64141
212212,CHOCOLATE 5,198802,200401,65982
212213,CHOCOLATE 6,199601,199601,203
212214,FRUIT PASTILLES 2,198802,202209,61105
212215,BAG OF SWEETS 150 - 250G,199202,201201,28779
212216,CHOCOLATE 7,199601,199601,61
212217,CHEWING/BUBBLE GUM-SINGLE PK,199502,202209,48238
212218,CARTON/BOX OF CHOCS 150-400GM,199602,202209,34642
212219,CHOCOLATE 8,200202,201801,24559
212220,CHOCOLATE COATED PEANUT,200202,200601,4992
212221,CHOCOLATE 9,200202,200301,678
212222,CHOCOLATE 10,200302,202209,28324
212223,BRAND CHOC SWEETS 90-185G BAG,201202,202209,23411
212224,"SWEETS, NOT CHOC, 150-250G BAG",201202,202209,25782
212225,CHOCOLATE LARGE BAR 100-200G,201602,202209,15712
212226,CHOCOLATE 12,201702,202209,12718
212227,CHOCOLATE 13,201802,202101,3880
212228,MALTED CHOCOLATE SWEETS,202102,202209,2737
212301,POTATOES-OLD-LOOSE-WHITE-PER L,199601,199812,9179
212302,POTATOES-OLD-PREPK-WHITE-PERKG,199601,200401,21272
212305,POTATOES-NEW-LOOSE-PER LB,199601,199812,9690
212307,POTATOES-OLD RED-PER KG,199601,200201,10804
212308,POTATOES-OLD-LOOSE-WHITE-PERKG,199902,200401,13997
212309,POTATOES-NEW-PER KG,199902,202209,64387
212310,POTATOES- OLD WHITE PER KG,200402,202209,58524
212311,POTATOES- BAKING PR KG,200402,202209,52648
212402,POTATO CRISPS 25G-50G,198802,202209,68968
212404,POTATO CRISPS-MULTI-PACK,198903,202209,85511
212405,FROZEN CHIPS 900G-1.5KG,199202,202209,77811
212406,POTATO FLAVOUR SNACK IN TUBE,200002,200501,8369
212407,POTATO CRISPS/CHIPS 150-200G,200302,200501,1550
212408,PREMIUM POTATO CRISPS/CHIPS,200502,202209,20329
212409,P'PARED MASHED POTATO 400-650G,201802,202209,18056
212501,FRESH VEG-TOMATOES-PER LB,198802,199812,39265
212503,FRESH VEG-CABBAGE -WHOLE-PER L,198802,199812,35780
212504,FRESH VEG-CAULIFLOWER-EACH,198802,202209,121259
212505,FRESH VEG-SPROUTS-PER LB,198802,199812,17890
212506,FRESH VEG-CARROTS-PER LB,198802,199812,39859
212507,FRESH VEG-ONIONS-PER LB,198802,199812,39910
212508,FRESH VEG-MUSHROOMS-PER 0.25LB,198802,199812,39361
212510,FRESH VEG-CUCUMBER-WHOLE,198802,202209,128855
212511,FRESH VEG-LETTUCE-ICEBERG-EACH,198802,202209,125512
212513,FRESH VEG-LEEKS-PER LB,199502,199812,14314
212514,FRESH VEG-GREEN PEPPER-SPECIFY,199602,199812,10025
212515,FRESH VEG-TOMATOES-PER KG,199902,202209,84041
212516,FRESH VEG-CABBAGE-WHOLE-PER KG,199902,202209,76671
212517,FRESH VEG-SPROUTS-PER KG,199902,200612,10680
212518,FRESH VEG-CARROTS-PER KG,199902,202209,89583
212519,FRESH VEG-ONIONS-PER KG,199902,202209,86578
212520,FRESH VEG-MUSHROOMS-PER KG,199902,202209,87603
212521,FRESH VEG-LEEKS-PER KG,199902,200101,6260
212522,FRESH VEG-GREEN PEPPER-PER KG,199902,200201,8653
212523,"BROCCOLI, PER KG",200002,200201,4628
212524,PRE-PACKED SALAD,200002,200201,3120
212525,"FRESH VEG-GARLIC, BULB",200102,200301,5684
212526,FRESH VEG-ORGANIC CARROTS KG,200102,201601,10494
212527,PRE-PACKED SALAD 100-250G,200202,202209,20565
212528,FRESH VEG- LETTUCE- ROUND,200302,201301,7736
212529,PRE-PACKED VEG EG BABY CORN,200502,200612,1469
212530,FRESH VEG-BROCCOLI-PER KG,200702,202209,57644
212531,FRESH VEG-COURGETTE-PER KG,200702,202209,52380
212532,FRESH VEG-PEPPERS -LOOSE OR KG,200802,202209,57838
212533,VEGETABLE STIR FRY FRESH PACK,201302,202209,22182
212534,SWEET POTATO PER KG,201502,201801,5897
212535,SWEET POTATO PER KG OR EACH,201802,202209,29853
212601,CANNED TOMATOES 390-400G,198802,202209,88948
212603,"BAKED BEANS, 400-425G TIN",198802,202209,91186
212608,CANNED SWEETCORN 198-340G,198802,202209,64978
212609,FROZEN GARDEN PEAS 800G-1KG,199402,202209,53696
212610,FROZEN SLICED GREEN BEANS 2LB,199601,199601,181
212611,BAKED BEANS-415-420G TIN 4 PK,199402,200001,8019
212612,FROZEN PRE-PREPARED VEGTABLES,202102,202209,6594
212613,PULSES CAN 390 - 420G,202202,202209,2986
212701,APPLES -COOKING-PER LB,198802,199812,37126
212702,APPLES -DESSERT-PER LB,198802,199812,39348
212703,PEARS -DESSERT-PER LB,198802,199812,37145
212705,BANANAS-PER LB,198802,199812,39919
212706,STRAWBERRIES-PER 1/2LB,198805,199808,6333
212707,PLUMS-PER LB,198805,199809,10831
212708,GRAPES-PER LB,198802,199812,35247
212709,ORANGES-CLASS 1-EACH,198802,202209,122736
212710,AVOCADO PEAR-EACH,198903,202209,94110
212711,NECTARINES-EACH,199506,200109,6636
212712,KIWI FRUIT-EACH,198903,202209,109130
212714,PEACHES-EACH,199402,200810,14803
212715,GRAPEFRUIT-EACH,199502,202209,90952
212716,APPLES-COOKING-PER KG,199902,202209,66441
212717,APPLES-DESSERT-PER KG,199902,202209,72162
212718,PEARS-DESSERT-PER KG,199902,202209,71996
212719,BANANAS-PER KG,199902,202209,84866
212720,STRAWBERRIES PER KG OR PUNNET,199905,202209,36197
212721,PLUMS-PER KG,199905,200109,3239
212722,GRAPES-PER KG,199902,202209,81312
212723,ORGANIC DESSERT APPLES KG,200102,200601,1801
212724,BAG OF ORGANIC DESSERT APPLES,200602,201601,4639
212725,SMALL TYPE ORANGES PER PACK/KG,200802,202209,42650
212726,PLUMS PER KG/PACK,200902,202209,40049
212727,PEACH/NECTARINE EACH,200904,201710,10353
212728,PINEAPPLE EACH,201202,202209,12605
212729,BLUEBERRIES PUNNET PER KG,201302,201801,5681
212730,FRUIT FRESH SNACKING 150-350G,201402,202209,19600
212731,MELON EACH EG HONEYDEW,201502,202209,18764
212732,LEMON EACH,201602,202209,40106
212733,BLUEBERRIES PUNNET OR PER KG,201802,202209,23026
212734,RASPBERRIES PUNNET OR PER KG,201802,202209,21332
212801,CANNED PEACHES SLICED,199601,199601,151
212802,CANNED PINEAPPLE,199601,199601,188
212805,DRIED MIXED FRUIT-500G PACKET,198802,199801,18295
212806,PACKET OF PEANUTS 150-300G,198802,202209,58478
212807,CANNED FRUIT-400-450G,199602,202209,50895
212808,DRIED FRUIT - EG APRICOTS,201102,202209,35356
212901,CUSTARD POWDER-300G DRUM,198802,200001,22072
212905,VEGETABLE PICKLE 280-520G,198802,202209,66388
212907,STOCK CUBES-PACK OF 12,198802,200201,25862
212910,CANNED SOUP-390-425G,198802,202209,63317
212911,PACKET SOUP-1.5 PINT / 850CL S,198802,200001,22166
212912,TINNED RAVIOLI-400-450G,198802,200001,21662
212913,VANILLA ICE CREAM-2 LITRES,198802,200201,55950
212914,CHOC COVERED ICE CREAM BAR,198802,201201,54770
212916,SALAD CREAM-10 OZ/ 285G BOTTLE,198903,200101,23131
212917,TOMATO KETCHUP BOTTLE 340-570G,198903,202209,72967
212918,FRZN READY-COOKD MEAL SERVES 1,198903,202209,57671
212920,MALT VINEGAR-568ML,199102,200001,17919
212921,COLESLAW-PLAIN-200-250G,199102,200601,27019
212922,CHILLED RDY-COOKD MEAL-SERVE 1,199202,200901,24804
212923,COOK-IN SAUCE-JAR/CAN 350-520G,199302,202209,51929
212924,FROZEN PIZZA-MED SIZE-300-450G,199402,201501,31277
212925,MICROWAVE READY MEAL-NOT CHILL,199402,200001,8456
212926,BABY FOOD,199502,199701,4670
212927,BABY FOOD-CAN/JAR,199702,201001,43162
212928,FROZ VEG BURGER/GRILL 180-454G,199802,202209,38454
212929,TINNED SPAGHETTI/PASTA SHAPES,200002,200301,5090
212930,MAYONNAISE 390-500G/420-540MLS,200102,202209,55308
212931,CHILL RED FAT READY MEAL,200202,200501,2002
212932,FROZEN VEG READY MEAL 300-350G,200202,200801,6553
212933,ICE CREAM 450ML-1L,200202,202209,31971
212934,DRIED POTTED SNACK 50-120G,200302,202209,30092
212935,DIET-AID DRINK POWDER 420-468G,200302,200501,2920
212936,CHILLED READY MEAL-MEAT-SERVS1,200902,202209,21616
212937,CHILLED READY MEAL-FISH/VEG,200902,202209,19886
212938,CHOCOLATE COVERED ICE CREAM,201202,202209,27217
212939,CHILLED PIZZA EACH 300-600G,201502,202209,19245
212940,PROTEIN POWDER 900G-2KG,201502,202209,23961
212941,QUICHE 340G-450G,201802,202209,12457
212942,VEGETABLE CRISPS PACK 80-125G,202002,202209,6123
212943,YORKSHIRE PUDDING FROZEN,202202,202209,1625
212944,SAUSAGE MEAT FREE CHILLED PACK,202202,202209,2188
212945,HERBS DRIED JAR 3 - 20G,202202,202209,1778
213001,COFFEE: GROUND: FILTER FINE,198802,202101,59029
213003,COFFEE-INSTANT 90 -100G JAR,198802,202209,87416
213004,HOT MILK DRINK-300-400G,198802,200601,34269
213005,HOT CHOCOLATE DRINK INSTANT,201302,202209,26061
213006,COFFEE PODS PACK 8-16,201602,202209,13075
213007,COFFEE SACHETS PACK,202102,202209,4244
220104,RESTAURANT-CUP OF COFFEE,198802,200601,87900
220106,PUB: COLD FILLED ROLL/SANDWICH,198903,201301,122729
220107,PUB -HOT MEAL,199002,202209,170816
220108,RESTAURANT - MAIN COURSE 1ST,199002,199701,41064
220109,RESTAURANT - SWEET,199002,199701,39902
220110,RESTAURANT - MAIN COURSE 2ND,199102,199701,37577
220111,BURGER IN BUN-EAT IN,199602,202001,84881
220112,RESTAURANT-MAIN COURSE-EVENING,199702,200601,40523
220113,RESTAURNT-SWEET COURSE-EVENING,199702,200601,39900
220114,RESTAURANT-MAIN COURSE-LUNCH,199702,200601,14002
220115,FRUIT JUICE,200502,200901,24534
220117,BOTTLED MINERAL WATER,200502,202209,81004
220118,RESTAURANT MAIN COURSE 1,200602,201601,51188
220119,RESTAURANT MAIN COURSE 2,200602,201201,14625
220120,IN STORE CAFETERIA MEAL,200602,202209,22901
220121,RESTAURANT CUP OF COFFEE,200602,202209,80732
220122,RESTAURANT - SWEET COURSE,200602,202209,81640
220124,MUFFIN/INDIVIDUAL CAKE,200802,202209,39736
220125,FRUIT JUICE BOTTLE 250-350ML,200902,202209,63440
220126,VEGETARIAN MAIN COURSE,201202,201601,21288
220127,PUB-ROLL/SANDWICH HOT OR COLD,201302,201601,13890
220128,RESTAURANT MAIN COURSE,201602,202209,30348
220206,STAFF RESTAURANT SWEET,198802,200501,52837
220207,CUP OF TEA IN CANTEEN,198802,200001,36945
220208,STAFF RESTAURNT HOT SNACK ITEM,200002,202209,49032
220209,PRIMARY SCHOOL- FIXED CHARGE,200302,202209,69687
220210,SECONDARY SCHOOL- CAFETERIA,200302,202209,66606
220211,STAFF RESTAURANT FIZZY DRINK,200502,201901,30454
220212,STAFF RESTAURANT SANDWICH,200502,202101,32098
220213,STAFF RESTAURANT PUDDING,200502,201301,18820
220214,STAFF RESTAURANT MAIN COURSE,198802,202209,88041
220301,FISH & CHIPS TAKEAWAY,198802,202209,97475
220302,BEEFBURGER AND BUN - TAKE AWAY,199601,199601,461
220303,SANDWICH-TAKE-AWAY (COLD),198802,202209,125362
220304,COFFEE -TAKE-AWAY,198802,201401,86159
220305,TEA -TAKE-AWAY,198802,202209,111632
220310,POTATO CRISPS-INDIVIDUAL PACK,198802,202209,201831
220311,DRY ROASTED PEANUTS INDIVIDUAL,198802,200001,85578
220314,TAKEAWAY SOFT DRINK CAN/CARTON,199002,200201,45064
220315,ETHNIC TAKEAWAY MAIN COURSE,199002,200201,39265
220316,PIZZA TAKEAWAY OR DELIVERED,200002,202209,35018
220317,PASTY/SAVOURY PIE - TAKEAWAY,200202,201801,39757
220318,INDIAN TAKEAWAY,200202,202209,30372
220319,CHINESE TAKEAWAY,200202,202209,31724
220320,TAKEAWAY SOFT DRINK,200202,202209,78298
220321,TAKEAWAY COFFEE LATTE,200302,202209,64039
220322,BURGER IN BUN- TAKEAWAY,200302,202001,33865
220323,KEBAB- TAKEAWAY,200302,202209,42504
220324,CINEMA POPCORN,200502,202209,20388
220325,VENDING MACHINE - SOFT DRINK,200702,202209,18188
220326,TAKEAWAY CHICKEN & CHIPS,201202,202209,15434
220327,T'AWAY COOKED SAVOURY PASTRY,201802,202209,11531
220328,BURGER IN A BUN EAT IN OR TAKE,202002,202209,8946
310101,MILD (PER PINT),199601,199601,377
310102,DRAUGHT BITTER (PER PINT),198802,202209,210275
310103,DRAUGHT LAGER (PER PINT),198802,200301,110248
310104,DRAUGHT STOUT PER PINT,198802,202209,209004
310105,PALE/LIGHT ALE (PER BOTTLE),198802,199701,48972
310106,CIDER-1/2PT OR 275-340ML BOT,198802,200901,132981
310107,LOW ALCHL LAGER 275-340ML BTL,198903,200001,76309
310108,LAGER-BTLD-PILS TYPE-275-340ML,199302,200401,79542
310109,LAGER - PINT 3.4-4.2%,200302,202209,104759
310110,PREMIUM LAGER - PINT 4.3-7.5%,200302,202209,102622
310111,BOTTLED PREMIUM LAGER 4.3-7.5%,200402,202209,98086
310112,BOTTLE OF LAGER IN NIGHTCLUB,200602,201801,12297
310113,CIDER-PER PINT OR 500-568ML,200902,201701,45589
310114,CIDER 4.5%-5.5% ABV PINT/BOTTL,201702,202209,21741
310201,LIGHT/PALE ALE (4 LARGE CANS),198802,199701,18859
310202,BROWN ALE-4 CANS 440-500ML,198802,200301,28951
310203,LAGER-4 CANS 440-500ML,198802,200401,38120
310204,BITTER (2 LITRE BOTTLE),198802,199701,18135
310205,CIDER 1-2 LITRE BOTTLE,198802,200901,42588
310206,LOW ALCOHOL LAGER-4 CANS-SPECI,198903,199801,19517
310207,BITTER-4CANS-440-500ML,199702,202209,40750
310208,ALCOPOP-BOTTLED-275-340ML,199702,200201,8473
310209,LAGER-BOTTLED-275-340ML,199802,200101,5038
310210,LAGER 'STUBBIES' 24 PK,200102,200401,3043
310211,LAGER 4 BOTTLES (275-340ML),200102,200401,3986
310212,LAGER PACK 12 CANS 440-500ML,200102,200401,2308
310213,LAGER 4 CANS- PREMIUM 4.3-7.5%,200402,201101,18288
310214,LAGER STUBBIES 4.3-7.5% ABV,200402,200801,4896
310215,LAGER 4 BOTTLES- PREMIUM,200402,202209,47302
310216,LAGER 10 - 24 CANS (440-500ML),200402,202209,29931
